sn|disease|cases|incidence_rate|source_page
1|Respiratory infections|51309|181|15
2|Malaria confirmed cases|41419|173|15
3|Muscular skeleton & connective tissues|10745|38|15
4|Digestive systems|7046|25|15
5|Diarrhea non blood|6152|22|15
6|Pyrexia of unknown origin (PUO)|3895|14|15
7|Trauma, other injuries & wounds|2547|9|15
8|Skin diseases not infectious|2473|9|15
9|dental carries|1666|6|15
10|Throat diseases|1509|5|15
